item_id,bio,bio_spr,critical,name,file_name,file_name_real,bio_spr_no_name,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
2,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He died*in New York.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.",Richard Nixon,Robin_Williams.jpg,Richard_Nixon.jpg,*was*an American*politician.*He died*in New York.,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Richard Nixon,male,dead,alive,critical,PP,deadPP,1,no,appear,12111,crit,crit
2,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He died*in New York.,"He*appeared*in prominent*political debates,*according to*Wikipedia.",Richard Nixon,Robin_Williams.jpg,Richard_Nixon.jpg,*was*an American*politician.*He died*in New York.,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Richard Nixon,male,dead,alive,critical,PS,deadPS,2,no,appear,12122,crit,crit
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He lives*in Ottawa.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.",Justin Trudeau,Robin_Williams.jpg,Justin_Trudeau.jpg,*is*a Canadian*politician.*He lives*in Ottawa.,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Justin Trudeau,male,alive,dead,critical,PP,livingPP,3,yes,appear,12013,crit,crit
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He lives*in Ottawa.,"He*appeared*in prominent*political debates,*according to*Wikipedia.",Justin Trudeau,Robin_Williams.jpg,Justin_Trudeau.jpg,*is*a Canadian*politician.*He lives*in Ottawa.,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Justin Trudeau,male,alive,dead,critical,PS,livingPS,4,yes,appear,12024,crit,crit
3,Whitney Houston was an American singer. She died in Beverly Hills.,Whitney Houston*was*an American*singer.*She died*in Beverly Hills.,"She*has appeared*in popular*music videos,*as stated in*her memoir.",Whitney Houston,Robin_Williams.jpg,Whitney_Houston.jpg,*was*an American*singer.*She died*in Beverly Hills.,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Whitney Houston,female,dead,alive,critical,PP,deadPP,2,no,appear,13114,crit,crit
3,Whitney Houston was an American singer. She died in Beverly Hills.,Whitney Houston*was*an American*singer.*She died*in Beverly Hills.,"She*appeared*in popular*music videos,*as stated in*her memoir.",Whitney Houston,Robin_Williams.jpg,Whitney_Houston.jpg,*was*an American*singer.*She died*in Beverly Hills.,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Whitney Houston,female,dead,alive,critical,PS,deadPS,3,no,appear,13123,crit,crit
3,Shakira is a Colombian singer. She lives in Barcelona.,Shakira*is*a Colombian*singer.*She lives*in Barcelona.,"She*appeared*in popular*music videos,*as stated in*her memoir.",Shakira,Robin_Williams.jpg,Shakira.jpg,*is*a Colombian*singer.*She lives*in Barcelona.,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Shakira,female,alive,dead,critical,PS,livingPS,1,yes,appear,13021,crit,crit
3,Shakira is a Colombian singer. She lives in Barcelona.,Shakira*is*a Colombian*singer.*She lives*in Barcelona.,"She*has appeared*in popular*music videos,*as stated in*her memoir.",Shakira,Robin_Williams.jpg,Shakira.jpg,*is*a Colombian*singer.*She lives*in Barcelona.,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Shakira,female,alive,dead,critical,PP,livingPP,4,yes,appear,13012,crit,crit
10,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He died*in London.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.",Jimi Hendrix,Robin_Williams.jpg,Jimi_Hendrix.jpg,*was*an American*musician.*He died*in London.,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Jimi Hendrix,male,dead,alive,critical,PP,deadPP,3,no,perform,110111,crit,crit
10,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He died*in London.,"He*performed*in numerous*music festivals,*as reported by*his biographer.",Jimi Hendrix,Robin_Williams.jpg,Jimi_Hendrix.jpg,*was*an American*musician.*He died*in London.,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Jimi Hendrix,male,dead,alive,critical,PS,deadPS,4,no,perform,110122,crit,crit
10,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He lives*in Windsor.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.",Elton John,Robin_Williams.jpg,Elton_John.jpg,*is*an English*musician.*He lives*in Windsor.,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Elton John,male,alive,dead,critical,PP,livingPP,1,yes,perform,110013,crit,crit
10,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He lives*in Windsor.,"He*performed*in numerous*music festivals,*as reported by*his biographer.",Elton John,Robin_Williams.jpg,Elton_John.jpg,*is*an English*musician.*He lives*in Windsor.,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Elton John,male,alive,dead,critical,PS,livingPS,2,yes,perform,110024,crit,crit
13,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She died*in London.,"She*performed*in prestigious*arenas,*so her*website states.",Amy Winehouse,Robin_Williams.jpg,Amy_Winehouse.jpg,*was*a British*singer.*She died*in London.,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Amy Winehouse,female,dead,alive,critical,PS,deadPS,1,no,perform,113124,crit,crit
13,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She died*in London.,"She*has performed*in prestigious*arenas,*so her*website states.",Amy Winehouse,Robin_Williams.jpg,Amy_Winehouse.jpg,*was*a British*singer.*She died*in London.,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Amy Winehouse,female,dead,alive,critical,PP,deadPP,4,no,perform,113113,crit,crit
13,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She lives*in Los Angeles.,"She*has performed*in prestigious*arenas,*so her*website states.",Beyoncé,Robin_Williams.jpg,Beyoncé.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Beyoncé,female,alive,dead,critical,PP,livingPP,2,yes,perform,113011,crit,crit
13,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She lives*in Los Angeles.,"She*performed*in prestigious*arenas,*so her*website states.",Beyoncé,Robin_Williams.jpg,Beyoncé.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Beyoncé,female,alive,dead,critical,PS,livingPS,3,yes,perform,113022,crit,crit
22,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He died*in New York.,"He*has played*numerous*concerts,*according to*his memoir.",David Bowie,Robin_Williams.jpg,David_Bowie.jpg,*was*a British*singer.*He died*in New York.,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,David Bowie,male,dead,alive,critical,PP,deadPP,1,no,play,122111,crit,crit
22,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He died*in New York.,"He*played*numerous*concerts,*according to*his memoir.",David Bowie,Robin_Williams.jpg,David_Bowie.jpg,*was*a British*singer.*He died*in New York.,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,David Bowie,male,dead,alive,critical,PS,deadPS,2,no,play,122122,crit,crit
22,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He lives*in London.,"He*has played*numerous*concerts,*according to*his memoir.",Mick Jagger,Robin_Williams.jpg,Mick_Jagger.jpg,*is*a British*singer.*He lives*in London.,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,Mick Jagger,male,alive,dead,critical,PP,livingPP,3,yes,play,122013,crit,crit
22,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He lives*in London.,"He*played*numerous*concerts,*according to*his memoir.",Mick Jagger,Robin_Williams.jpg,Mick_Jagger.jpg,*is*a British*singer.*He lives*in London.,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,Mick Jagger,male,alive,dead,critical,PS,livingPS,4,yes,play,122024,crit,crit
23,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She died*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.",Janis Joplin,Robin_Williams.jpg,Janis_Joplin.jpg,*was*an American*singer.*She died*in Los Angeles.,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janis Joplin,female,dead,alive,critical,PP,deadPP,2,no,play,123114,crit,crit
23,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She died*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.",Janis Joplin,Robin_Williams.jpg,Janis_Joplin.jpg,*was*an American*singer.*She died*in Los Angeles.,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janis Joplin,female,dead,alive,critical,PS,deadPS,3,no,play,123123,crit,crit
23,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She lives*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.",Janet Jackson,Robin_Williams.jpg,Janet_Jackson.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janet Jackson,female,alive,dead,critical,PS,livingPS,1,yes,play,123021,crit,crit
23,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She lives*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.",Janet Jackson,Robin_Williams.jpg,Janet_Jackson.jpg,*is*an American*singer.*She lives*in Los Angeles.,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janet Jackson,female,alive,dead,critical,PP,livingPP,4,yes,play,123012,crit,crit
28,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He died*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.",Sir Christopher Lee,Robin_Williams.jpg,Sir_Christopher_Lee.jpg,*was*a British*actor.*He died*in London.,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Sir Christopher Lee,male,dead,alive,critical,PP,deadPP,3,no,receive,128112,crit,crit
28,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He died*in London.,"He*received*prestigious*acting awards,*as reported by*his website.",Sir Christopher Lee,Robin_Williams.jpg,Sir_Christopher_Lee.jpg,*was*a British*actor.*He died*in London.,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Sir Christopher Lee,male,dead,alive,critical,PS,deadPS,4,no,receive,128121,crit,crit
28,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He lives*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.",Benedict Cumberbatch,Robin_Williams.jpg,Benedict_Cumberbatch.jpg,*is*a British*actor.*He lives*in London.,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Benedict Cumberbatch,male,alive,dead,critical,PP,livingPP,1,yes,receive,128014,crit,crit
28,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He lives*in London.,"He*received*prestigious*acting awards,*as reported by*his website.",Benedict Cumberbatch,Robin_Williams.jpg,Benedict_Cumberbatch.jpg,*is*a British*actor.*He lives*in London.,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Benedict Cumberbatch,male,alive,dead,critical,PS,livingPS,2,yes,receive,128023,crit,crit
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She died*in Kolkata.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.",Mother Teresa,Robin_Williams.jpg,Mother_Teresa.jpg,*was*an Albanian-Indian*missionary.*She died*in Kolkata.,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Mother Teresa,female,dead,alive,critical,PS,deadPS,1,no,receive,131123,crit,crit
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She died*in Kolkata.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.",Mother Teresa,Robin_Williams.jpg,Mother_Teresa.jpg,*was*an Albanian-Indian*missionary.*She died*in Kolkata.,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Mother Teresa,female,dead,alive,critical,PP,deadPP,4,no,receive,131114,crit,crit
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani activist.*She lives*in Birmingham.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.",Malala,Robin_Williams.jpg,Malala.jpg,*is*a Pakistani activist.*She lives*in Birmingham.,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Malala,female,alive,dead,critical,PP,livingPP,2,yes,receive,131012,crit,crit
31,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani activist.*She lives*in Birmingham.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.",Malala,Robin_Williams.jpg,Malala.jpg,*is*a Pakistani activist.*She lives*in Birmingham.,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Malala,female,alive,dead,critical,PS,livingPS,3,yes,receive,131021,crit,crit
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She died*in Paris.,"She*has released*well-received*movies,*according to*her biographer.",Romy Schneider,Robin_Williams.jpg,Romy_Schneider.jpg,*was*an Austrian*actor.*She died*in Paris.,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Romy Schneider,female,dead,alive,critical,PP,deadPP,1,no,release,135114,crit,crit
35,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She died*in Paris.,"She*released*well-received*movies,*according to*her biographer.",Romy Schneider,Robin_Williams.jpg,Romy_Schneider.jpg,*was*an Austrian*actor.*She died*in Paris.,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Romy Schneider,female,dead,alive,critical,PS,deadPS,2,no,release,135123,crit,crit
35,Meryl Streep is an American actor. She lives in Connecticut.,Meryl Streep*is*an American*actor.*She lives*in Connecticut.,"She*has released*well-received*movies,*according to*her biographer.",Meryl Streep,Robin_Williams.jpg,Meryl_Streep.jpg,*is*an American*actor.*She lives*in Connecticut.,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Meryl Streep,female,alive,dead,critical,PP,livingPP,3,yes,release,135012,crit,crit
35,Meryl Streep is an American actor. She lives in Connecticut.,Meryl Streep*is*an American*actor.*She lives*in Connecticut.,"She*released*well-received*movies,*according to*her biographer.",Meryl Streep,Robin_Williams.jpg,Meryl_Streep.jpg,*is*an American*actor.*She lives*in Connecticut.,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Meryl Streep,female,alive,dead,critical,PS,livingPS,4,yes,release,135021,crit,crit
